Year,China,NAFTA,EU30,RoW
2020,98.67,69.73,55.05,124.78
2019,87.65,69.92,58.88,125.12
2018,75.67,64.62,61.03,125.65
2017,70.16,61.60,64.38,119.71
2016,68.85,60.30,63.65,113.90
2015,63.68,59.57,59.57,113.34
2014,56.10,59.09,62.20,108.85
2013,50.68,58.01,59.80,107.04
2012,41.83,57.31,58.75,103.10
2011,39.86,55.80,58.59,100.44
2010,35.45,55.15,57.84,92.81
2009,28.36,57.50,62.50,92.50
2008,29.88,56.35,61.25,90.65
2007,26.31,59.11,64.25,95.09
2006,20.99,57.58,61.25,90.65
2005,18.86,55.20,57.50,85.10
