Year,China,NAFTA_lbs,EU30,RoW
2004,17.91 ,113940.00 ,59.15 ,96.26 
2003,16.52 ,106466.00 ,57.16 ,90.03 
2002,14.56 ,108262.00 ,55.96 ,84.37 
2001,12.89 ,101958.00 ,53.58 ,79.29 
2000,10.88 ,103239.00 ,52.39 ,76.91 
1999,8.71 ,100281.00 ,51.19 ,72.61 
1998,6.93 ,94010.00 ,48.81 ,66.62 
1997,6.86 ,90716.00 ,46.42 ,63.57 
1996,5.77 ,86424.00 ,42.84 ,60.19 
1995,5.17 ,79240.00 ,42.05 ,54.84 
1994,4.01 ,78744.00 ,42.05 ,51.22 
1993,3.60 ,71094.00 ,37.28 ,47.88 
1992,3.31 ,67675.00 ,37.28 ,44.72 
1991,2.83 ,63639.00 ,36.08 ,41.22 
1990,2.27 ,63039.00 ,36.08 ,38.05 
1989,2.06 ,59676.00 ,26.54 ,43.33 
1988,1.90 ,58554.00 ,26.54 ,41.00 
1987,1.53 ,55818.00 ,25.75 ,37.41 
1986,1.38 ,50452.00 ,24.55 ,34.18 
1985,1.23 ,47470.00 ,23.36 ,31.87 
1984,,45221.00 ,23.36 ,28.96 
1983,,42212.00 ,23.36 ,25.39 
1982,,36639.00 ,20.97 ,24.37 
1981,,38801.00 ,20.97 ,21.46 
1980,0.90 ,36896.00 ,20.97 ,21.39 
1979,0.79 ,40607.00 ,21.77 ,20.02 
1978,0.68 ,36818.00 ,20.58 ,17.04 
1977,,32771.00 ,19.78 ,15.79 
1976,,28379.00 ,19.38 ,14.30 
1975,0.33 ,22278.00 ,15.01 ,14.55 
1974,,27890.00 ,18.59 ,13.46 
1973,,28719.00 ,18.59 ,12.12 
1972,,,15.41 ,12.62 
1971,,,12.62 ,11.17 
1970,0.18 ,,11.43 ,10.08 
1969,,,10.24 ,9.95 
1968,,,8.25 ,8.18 
1967,,,6.66 ,6.47 
1966,,,5.86 ,5.73 
1965,0.10 ,,4.27 ,5.25 
1964,,,4.27 ,3.75 
1963,,,3.08 ,3.30 
1962,0.04 ,,3.08 ,2.32 
1961,,,2.29 ,1.99 
1960,,,1.89 ,1.93 
1959,,,1.09 ,2.13 
1958,,,1.09 ,0.99 
1957,0.01 ,,1.09 ,0.92 
1956,,,1.09 ,0.51 
1955,,,1.09 ,0.16 
1954,,,0.87 ,0.00 
1953,,,0.66 ,0.00 
1952,0.00 ,,0.44 ,0.00 
1951,,,0.22 ,0.00 
1950,0.00 ,0.00 ,0.35 ,0.00 
