Year_2,Recycling,Incineration,Landfill,Mismanaged
2020,32.05%,37.34%,27.13%,3.48%
2019,33.50%,42.39%,20.57%,3.53%
2018,32.41%,42.76%,21.25%,3.57%
2017,31.73%,42.25%,22.40%,3.62%
2016,31.00%,41.70%,23.64%,3.67%
2015,30.38%,40.57%,25.34%,3.72%
2014,29.73%,39.38%,27.12%,3.77%
2013,28.80%,37.67%,29.71%,3.82%
2012,27.82%,35.89%,32.42%,3.87%
2011,25.30%,34.94%,35.84%,3.92%
2010,24.39%,33.33%,38.31%,3.97%
2009,22.82%,31.54%,41.62%,4.02%
2008,21.05%,29.96%,44.91%,4.07%
2007,20.33%,29.27%,46.28%,4.13%
2006,19.11%,28.46%,48.26%,4.18%
2005,18.01%,29.01%,48.74%,4.24%
2004,17.64%,29.06%,49.01%,4.29%
2003,16.89%,28.06%,50.70%,4.35%
2002,15.36%,26.28%,53.96%,4.41%
2001,14.15%,25.45%,55.93%,4.46%
2000,12.89%,24.16%,58.42%,4.52%
1999,11.20%,22.65%,61.57%,4.58%
