Year_2,Recycling,Incineration,Landfill,Mismanaged,Region
2021,32.05%,37.34%,27.13%,3.48%,EU30
2020,33.50%,42.39%,20.57%,3.53%,EU30
2019,32.41%,42.76%,21.25%,3.57%,EU30
2018,31.73%,42.25%,22.40%,3.62%,EU30
2017,31.00%,41.70%,23.64%,3.67%,EU30
2016,30.38%,40.57%,25.34%,3.72%,EU30
2015,29.73%,39.38%,27.12%,3.77%,EU30
2014,28.80%,37.67%,29.71%,3.82%,EU30
2013,27.82%,35.89%,32.42%,3.87%,EU30
2012,25.30%,34.94%,35.84%,3.92%,EU30
2011,24.39%,33.33%,38.31%,3.97%,EU30
2010,22.82%,31.54%,41.62%,4.02%,EU30
2009,21.05%,29.96%,44.91%,4.07%,EU30
2008,20.33%,29.27%,46.28%,4.13%,EU30
2007,19.11%,28.46%,48.26%,4.18%,EU30
2006,18.01%,29.01%,48.74%,4.24%,EU30
