Year_2,Recycling,Incineration,Landfill,Mismanaged,Region
2021,8.20%,15.39%,73.77%,2.64%,NAFTA
2020,8.43%,15.57%,73.31%,2.69%,NAFTA
2019,8.66%,15.75%,72.84%,2.75%,NAFTA
2018,8.47%,15.79%,72.93%,2.81%,NAFTA
2017,9.40%,15.30%,72.44%,2.87%,NAFTA
2016,9.05%,15.46%,72.57%,2.93%,NAFTA
2015,9.48%,15.00%,72.53%,2.99%,NAFTA
2014,9.14%,15.06%,72.75%,3.05%,NAFTA
2013,8.70%,15.65%,72.53%,3.12%,NAFTA
2012,8.29%,16.20%,72.33%,3.18%,NAFTA
2011,7.96%,14.43%,74.36%,3.25%,NAFTA
2010,7.05%,15.03%,74.60%,3.32%,NAFTA
2009,7.07%,14.95%,74.59%,3.39%,NAFTA
2008,6.83%,14.88%,74.83%,3.46%,NAFTA
2007,6.88%,14.81%,74.78%,3.54%,NAFTA
2006,6.06%,14.74%,75.59%,3.61%,NAFTA
