Year_2,Recycling,Incineration,Landfill,Mismanaged,Region
2021,16.76%,7.35%,32.88%,43.02%,RoW
2020,16.42%,7.24%,32.40%,43.94%,RoW
2019,16.08%,7.13%,31.91%,44.88%,RoW
2018,15.75%,7.02%,31.39%,45.84%,RoW
2017,15.42%,6.90%,30.85%,46.83%,RoW
2016,15.11%,6.77%,30.29%,47.83%,RoW
2015,14.80%,6.64%,29.71%,48.86%,RoW
2014,14.49%,6.50%,29.10%,49.90%,RoW
2013,14.19%,6.36%,28.47%,50.98%,RoW
2012,13.90%,6.22%,27.81%,52.07%,RoW
2011,13.62%,6.07%,27.13%,53.19%,RoW
2010,13.34%,5.91%,26.43%,54.33%,RoW
2009,13.06%,5.75%,25.70%,55.49%,RoW
2008,12.79%,5.58%,24.95%,56.68%,RoW
2007,12.53%,5.40%,24.17%,57.90%,RoW
2006,12.27%,5.22%,23.36%,59.14%,RoW
