Year,China,NAFTA,EU30,RoW
2020,30.88,-10.57,2.30,-22.60
2019,26.64,-9.26,3.60,-20.98
2018,24.50,-5.83,4.19,-22.86
2017,20.09,-4.29,2.08,-17.88
2016,15.79,-6.78,1.48,-10.49
2015,18.68,-4.59,1.28,-15.36
2014,17.89,-4.93,-1.09,-11.87
2013,18.43,-6.45,0.12,-12.10
2012,18.19,-6.21,-1.23,-10.76
2011,17.99,-7.76,-0.15,-10.08
2010,19.89,-8.08,-0.74,-11.06
2009,20.73,-7.64,-1.88,-11.21
2008,13.85,-5.93,-0.21,-7.71
2007,15.16,-6.22,-2.29,-6.65
2006,15.48,-3.62,-2.14,-9.71
2005,16.50,-4.24,-2.58,-9.68
