Year,China,NAFTA,EU30,RoW
2004,60.01 ,60.01 ,68.49 ,106.82 
2003,56.25 ,56.25 ,66.28 ,104.95 
2002,57.13 ,57.13 ,64.92 ,99.73 
2001,54.04 ,54.04 ,62.17 ,94.87 
2000,54.99 ,54.99 ,61.11 ,93.12 
1999,53.32 ,53.32 ,59.67 ,88.98 
1998,50.28 ,50.28 ,56.87 ,82.74 
1997,48.67 ,48.67 ,54.62 ,78.71 
1996,46.41 ,46.41 ,50.88 ,73.85 
1995,42.73 ,42.73 ,49.92 ,67.78 
1994,42.50 ,42.50 ,49.98 ,63.46 
1993,38.37 ,38.37 ,44.60 ,59.21 
1992,36.40 ,36.40 ,44.59 ,55.97 
1991,34.29 ,34.29 ,43.04 ,51.98 
1990,33.81 ,33.81 ,43.34 ,48.24 
1989,32.11 ,32.11 ,33.17 ,53.47 
1988,31.61 ,31.61 ,32.97 ,50.74 
1987,30.11 ,30.11 ,31.88 ,46.81 
1986,27.38 ,27.38 ,30.39 ,42.81 
1985,25.86 ,25.86 ,28.99 ,39.94 
1984,24.63 ,24.63 ,28.95 ,36.37 
1983,23.18 ,23.18 ,28.54 ,32.13 
1982,20.17 ,20.17 ,25.76 ,30.47 
1981,21.51 ,21.51 ,25.86 ,27.66 
1980,20.67 ,20.67 ,25.57 ,27.45 
1979,22.34 ,22.34 ,26.25 ,25.72 
1978,20.32 ,20.32 ,24.79 ,22.25 
1977,18.17 ,18.17 ,23.75 ,20.65 
1976,15.86 ,15.86 ,23.15 ,18.79 
1975,12.70 ,12.70 ,18.23 ,18.83 
1974,15.34 ,15.34 ,21.97 ,17.43 
1973,15.62 ,15.62 ,21.83 ,15.76 
1972,11.93 ,11.93 ,18.25 ,16.09 
1971,11.01 ,11.01 ,15.09 ,14.30 
1970,10.13 ,10.13 ,13.66 ,12.91 
1969,9.40 ,9.40 ,12.33 ,12.73 
1968,8.55 ,8.55 ,9.98 ,10.50 
1967,7.76 ,7.76 ,8.09 ,8.37 
1966,7.08 ,7.08 ,7.13 ,7.43 
1965,6.42 ,6.42 ,5.29 ,6.73 
1964,5.82 ,5.82 ,5.21 ,4.96 
1963,5.26 ,5.26 ,3.82 ,4.33 
1962,4.77 ,4.77 ,3.76 ,3.18 
1961,4.31 ,4.31 ,2.83 ,2.72 
1960,3.92 ,3.92 ,2.36 ,2.59 
1959,3.56 ,3.56 ,1.46 ,2.75 
1958,3.23 ,3.23 ,1.40 ,1.42 
1957,2.97 ,2.97 ,1.39 ,1.32 
1956,2.75 ,2.75 ,1.36 ,0.83 
1955,2.56 ,2.56 ,1.34 ,0.42 
1954,2.07 ,2.07 ,1.07 ,0.20 
1953,1.97 ,1.97 ,0.82 ,0.18 
1952,1.66 ,1.66 ,0.56 ,0.14 
1951,2.01 ,2.01 ,0.32 ,0.14 
1950,1.53 ,1.53 ,0.45 ,0.12 
