Year_2,Recycling,Incineration,Landfill,Mismanaged
2020,26.67%,36.67%,35.00%,1.67%
2019,30.00%,35.21%,31.66%,3.13%
2018,27.00%,32.61%,37.48%,2.92%
2017,26.70%,28.83%,41.00%,3.47%
2016,31.76%,24.73%,39.77%,3.74%
2015,33.53%,21.44%,39.88%,5.15%
2014,41.40%,17.49%,35.25%,5.86%
2013,31.90%,18.30%,41.45%,8.34%
2012,40.44%,12.50%,36.66%,10.41%
2011,37.60%,9.89%,38.31%,14.20%
2010,35.13%,9.62%,39.85%,15.40%
2009,37.05%,8.18%,36.01%,18.76%
2008,36.78%,6.50%,34.89%,21.83%
2007,37.63%,5.98%,31.94%,24.45%
2006,35.86%,5.01%,28.25%,30.88%
2005,35.79%,3.33%,28.91%,31.97%
2004,34.87%,1.98%,30.36%,32.79%
2003,32.41%,1.77%,30.58%,35.24%
2002,29.92%,1.47%,35.28%,33.33%
2001,27.42%,0.73%,33.25%,38.59%
2000,24.93%,0.00%,35.15%,39.92%
1999,22.44%,0.00%,36.22%,41.35%
