Year_2,Recycling,Incineration,Landfill,Mismanaged
2020,34.60%,42.00%,20.74%,2.66%
2019,33.50%,42.39%,21.36%,2.74%
2018,32.41%,42.76%,22.00%,2.82%
2017,31.73%,42.25%,23.06%,2.96%
2016,31.00%,41.70%,24.20%,3.11%
2015,30.38%,40.57%,25.75%,3.31%
2014,29.73%,39.38%,27.37%,3.51%
2013,28.80%,37.67%,29.72%,3.81%
2012,27.82%,35.89%,32.16%,4.13%
2011,25.30%,34.94%,35.24%,4.52%
2010,24.39%,33.33%,37.47%,4.81%
2009,22.82%,31.54%,40.45%,5.19%
2008,21.05%,29.96%,43.41%,5.57%
2007,20.33%,29.27%,44.67%,5.73%
2006,19.11%,28.46%,46.47%,5.97%
2005,18.01%,29.01%,46.95%,6.03%
2004,17.64%,29.06%,47.24%,6.06%
2003,16.89%,28.06%,48.78%,6.26%
2002,15.36%,26.28%,51.73%,6.64%
2001,14.15%,25.45%,53.52%,6.87%
2000,12.89%,24.16%,55.78%,7.16%
1999,11.20%,22.65%,58.63%,7.53%
