Year_2,Recycling,Incineration,Landfill,Mismanaged
2020,9.40%,15.39%,72.84%,2.37%
2019,9.03%,15.57%,73.59%,1.81%
2018,8.66%,15.75%,73.25%,2.34%
2017,8.47%,15.79%,72.65%,3.10%
2016,9.40%,15.30%,71.59%,3.72%
2015,9.05%,15.46%,71.63%,3.87%
2014,9.48%,15.00%,71.59%,3.94%
2013,9.14%,15.06%,71.43%,4.37%
2012,8.70%,15.65%,70.84%,4.80%
2011,8.29%,16.20%,70.24%,5.28%
2010,7.96%,14.43%,71.70%,5.91%
2009,7.05%,14.93%,71.33%,6.69%
2008,7.07%,14.69%,72.39%,5.86%
2007,6.83%,14.27%,72.80%,6.11%
2006,6.88%,14.59%,71.71%,6.83%
2005,6.06%,14.74%,71.46%,7.75%
2004,5.87%,14.55%,70.79%,8.79%
2003,5.49%,15.24%,69.49%,9.78%
2002,5.40%,15.35%,68.82%,10.43%
2001,5.81%,15.92%,67.50%,10.77%
2000,5.80%,16.14%,66.96%,11.11%
1999,5.32%,16.64%,65.97%,12.08%
