Year_2,Recycling,Incineration,Landfill,Mismanaged
2020,16.76%,7.35%,32.88%,43.01%
2019,16.42%,7.24%,32.40%,43.94%
2018,16.08%,7.13%,31.91%,44.88%
2017,15.75%,7.02%,31.39%,45.84%
2016,15.42%,6.90%,30.85%,46.82%
2015,15.11%,6.77%,30.29%,47.83%
2014,14.80%,6.64%,29.71%,48.85%
2013,14.49%,6.50%,29.10%,49.90%
2012,14.19%,6.36%,28.47%,50.97%
2011,13.90%,6.22%,27.81%,52.07%
2010,13.62%,6.07%,27.13%,53.18%
2009,13.34%,5.91%,26.43%,54.32%
2008,13.06%,5.75%,25.70%,55.49%
2007,12.79%,5.58%,24.95%,56.68%
2006,12.53%,5.40%,24.17%,57.90%
2005,12.27%,5.22%,23.36%,59.14%
2004,12.02%,5.04%,22.53%,60.41%
2003,11.77%,4.85%,21.68%,61.70%
2002,11.53%,4.65%,20.79%,63.03%
2001,11.29%,4.44%,19.88%,64.38%
2000,11.06%,4.23%,18.94%,65.76%
1999,10.83%,4.02%,17.98%,67.17%
