Year,Transportation,Packaging,Building_Construction,Electrical_Electronic,Household_Leisure_Sports,Agriculture,Textiles,Others
2020,-0.22 ,-3.10 ,-11.21 ,-4.46 ,-4.13 ,0.00 ,-12.78 ,-3.58 
2019,-1.79 ,-2.99 ,-10.01 ,-1.88 ,-5.34 ,0.00 ,-20.23 ,-3.27 
2018,-0.59 ,-2.89 ,-5.12 ,-1.57 ,-3.91 ,0.00 ,-14.14 ,-1.55 
2017,-1.14 ,-2.67 ,-7.35 ,-1.70 ,-4.59 ,0.00 ,-18.16 ,-1.48 
2016,-0.32 ,-2.20 ,-1.62 ,-1.13 ,-3.25 ,0.00 ,-13.82 ,-1.12 
2015,-1.02 ,-2.77 ,-5.74 ,-2.37 ,-4.31 ,0.00 ,-19.66 ,-2.70 
2014,-0.86 ,-2.50 ,-5.21 ,-1.20 ,-4.01 ,0.00 ,-12.85 ,-2.69 
2013,-0.90 ,-2.84 ,-4.80 ,-3.45 ,-3.89 ,0.00 ,-14.57 ,-2.78 
2012,-0.99 ,-2.81 ,-3.99 ,-3.02 ,-3.67 ,0.00 ,-13.55 ,-2.79 
2011,-0.91 ,-2.80 ,-3.36 ,-3.58 ,-3.60 ,0.00 ,-13.05 ,-2.53 
2010,-0.64 ,-2.54 ,-2.68 ,-2.27 ,-4.14 ,0.00 ,-12.77 ,-4.75 
2009,-0.34 ,-2.07 ,-2.02 ,-0.74 ,-2.48 ,0.00 ,-6.88 ,-2.00 
2008,-0.82 ,-2.23 ,-2.23 ,-1.01 ,-2.18 ,0.00 ,-7.16 ,-1.06 
2007,-0.81 ,-2.29 ,-1.90 ,-0.78 ,-3.00 ,0.00 ,-6.42 ,-2.72 
2006,-0.64 ,-2.16 ,-1.34 ,-0.47 ,-2.96 ,0.00 ,-4.35 ,-2.54 
2005,-0.55 ,-1.95 ,-0.91 ,-0.37 ,-2.72 ,0.00 ,-2.69 ,-2.39 
