Year,Transportation,Packaging,Building_Construction,Electrical_Electronic,Household_Leisure_Sports,Agriculture,Textiles,Others
2020,0.68,1.97,3.79,4.12,2.81,0.00,6.55,1.36
2019,0.87,1.49,3.77,0.66,2.37,0.00,4.63,0.71
2018,0.91,1.32,3.55,0.72,2.17,0.00,5.74,0.69
2017,1.09,1.37,3.08,0.61,2.07,0.00,5.70,0.54
2016,0.75,0.81,1.15,0.64,1.86,0.00,5.18,0.33
2015,0.77,1.31,2.06,3.91,1.89,0.00,5.61,0.47
2014,0.64,0.78,1.73,0.51,1.63,0.00,4.49,0.44
2013,0.79,2.29,3.50,0.49,2.00,0.00,5.24,1.27
2012,0.74,4.35,1.56,1.98,1.68,0.00,4.71,0.54
2011,0.35,1.23,1.24,1.24,2.07,0.00,3.64,0.30
2010,0.45,1.78,2.78,3.31,1.91,0.00,4.06,1.10
2009,0.43,0.91,0.69,1.68,1.47,0.00,3.75,0.71
2008,0.65,1.24,1.26,2.08,1.62,0.00,3.06,2.53
2007,0.94,1.30,1.00,1.89,1.67,0.00,4.23,0.67
2006,0.87,1.59,0.84,-0.70,1.71,0.00,4.00,0.48
2005,0.80,1.68,3.65,0.53,1.52,0.00,3.73,0.45
