Year,Transportation,Packaging,Building_Construction,Electrical_Electronic,Household_Leisure_Sports,Agriculture,Textiles,Others
2020,-0.22 ,1.17 ,0.38 ,0.83 ,0.96 ,0.00 ,5.15 ,0.58 
2019,-0.27 ,1.39 ,0.00 ,0.49 ,0.93 ,0.00 ,2.45 ,0.74 
2018,-0.36 ,1.07 ,-0.49 ,0.11 ,0.85 ,0.00 ,4.87 ,0.58 
2017,-0.48 ,1.10 ,-0.56 ,0.14 ,0.77 ,0.00 ,1.01 ,0.47 
2016,-0.57 ,1.90 ,0.03 ,0.13 ,0.81 ,0.00 ,4.61 ,0.42 
2015,-0.71 ,1.29 ,-0.37 ,0.98 ,0.84 ,0.00 ,5.26 ,0.65 
2014,-0.83 ,1.20 ,0.02 ,0.33 ,0.96 ,0.00 ,4.30 ,0.74 
2013,-0.92 ,1.38 ,-0.48 ,0.56 ,0.91 ,0.00 ,4.32 ,0.64 
2012,-1.18 ,1.14 ,-0.34 ,0.39 ,0.89 ,0.00 ,4.05 ,0.63 
2011,-0.63 ,1.45 ,-0.39 ,0.32 ,0.86 ,0.00 ,3.75 ,0.56 
2010,-0.48 ,1.48 ,-0.12 ,0.33 ,0.99 ,0.00 ,5.22 ,0.88 
2009,-0.19 ,1.16 ,-0.93 ,0.20 ,0.55 ,0.00 ,3.72 ,-0.47 
2008,-0.24 ,1.02 ,-0.83 ,0.28 ,0.73 ,0.00 ,4.74 ,-0.04 
2007,0.10 ,1.39 ,-0.11 ,0.12 ,1.05 ,0.00 ,4.18 ,0.82 
2006,-0.27 ,1.29 ,-1.97 ,0.13 ,0.87 ,0.00 ,3.40 ,0.51 
2005,-1.01 ,1.29 ,-1.08 ,0.54 ,0.78 ,0.00 ,3.62 ,0.61 
