Year,Transportation,Packaging,Building_Construction,Electrical_Electronic,Household_Leisure_Sports,Agriculture,Textiles,Others
2020,-0.24,-0.04,7.05,-0.49,0.37,0.00,1.08,1.65
2019,1.19,0.11,6.24,0.73,2.05,0.00,13.15,1.82
2018,0.04,0.50,2.06,0.74,0.89,0.00,3.53,0.28
2017,0.52,0.20,4.83,0.96,1.76,0.00,11.45,0.48
2016,0.14,-0.50,0.45,0.36,0.59,0.00,4.03,0.37
2015,0.96,0.17,4.06,-2.52,1.58,0.00,8.79,1.57
2014,1.05,0.52,3.46,0.36,1.43,0.00,4.05,1.51
2013,1.02,-0.82,1.78,2.40,0.98,0.00,5.01,0.87
2012,1.43,-2.69,2.77,0.65,1.10,0.00,4.80,1.62
2011,1.18,0.11,2.51,2.02,0.67,0.00,5.66,1.67
2010,0.66,-0.73,0.01,-1.37,1.24,0.00,3.48,2.77
2009,0.11,0.01,2.26,-1.14,0.46,0.00,-0.60,1.75
2008,0.41,-0.03,1.79,-1.35,-0.17,0.00,-0.64,-1.43
2007,-0.23,-0.40,1.02,-1.23,0.28,0.00,-2.00,1.23
2006,0.04,-0.72,2.47,1.05,0.38,0.00,-3.04,1.54
2005,0.77,-1.02,-1.66,-0.71,0.42,0.00,-4.66,1.33
