year,region,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionOtherMT,consumptionPackagingMT,consumptionTextileMT,consumptionTransportationMT
2006,china,5.78 ,23.03 ,5.78 ,2.72 ,1.47 ,13.11 ,14.25 ,3.27 
2005,china,5.57 ,21.20 ,5.57 ,2.67 ,1.43 ,12.56 ,10.45 ,3.16 
2004,china,4.76 ,22.54 ,4.76 ,2.30 ,1.22 ,10.84 ,11.06 ,2.71 
2003,china,3.85 ,19.03 ,3.85 ,1.86 ,0.98 ,8.76 ,8.93 ,2.19 
2002,china,3.34 ,23.37 ,3.34 ,1.61 ,0.86 ,7.61 ,7.77 ,1.91 
2001,china,2.89 ,18.64 ,2.89 ,1.39 ,0.74 ,6.57 ,6.70 ,1.64 
2000,china,2.43 ,17.15 ,2.43 ,1.17 ,0.62 ,5.54 ,5.65 ,1.39 
1999,china,1.99 ,15.64 ,1.99 ,0.96 ,0.51 ,4.52 ,4.61 ,1.13 
1998,china,1.62 ,13.93 ,1.62 ,0.78 ,0.42 ,3.70 ,3.77 ,0.93 
1997,china,1.55 ,13.64 ,1.55 ,0.75 ,0.40 ,3.54 ,3.61 ,0.89 
1996,china,1.23 ,13.33 ,1.23 ,0.59 ,0.32 ,2.80 ,2.86 ,0.70 
1995,china,1.08 ,12.12 ,1.08 ,0.52 ,0.28 ,2.47 ,2.52 ,0.62 
1994,china,0.90 ,10.25 ,0.90 ,0.43 ,0.23 ,2.04 ,2.08 ,0.51 
1993,china,0.78 ,9.80 ,0.78 ,0.38 ,0.20 ,1.78 ,1.81 ,0.45 
1992,china,0.72 ,8.94 ,0.72 ,0.35 ,0.18 ,1.65 ,1.68 ,0.41 
1991,china,0.63 ,8.86 ,0.63 ,0.31 ,0.16 ,1.44 ,1.47 ,0.36 
1990,china,0.52 ,7.40 ,0.52 ,0.25 ,0.13 ,1.18 ,1.21 ,0.30 
1989,china,0.47 ,5.98 ,0.47 ,0.23 ,0.12 ,1.07 ,1.09 ,0.27 
1988,china,0.44 ,5.20 ,0.44 ,0.21 ,0.11 ,1.01 ,1.03 ,0.25 
1987,china,0.38 ,4.49 ,0.38 ,0.18 ,0.10 ,0.86 ,0.88 ,0.22 
1986,china,0.35 ,3.78 ,0.35 ,0.17 ,0.09 ,0.79 ,0.81 ,0.20 
1985,china,0.32 ,3.09 ,0.32 ,0.15 ,0.08 ,0.73 ,0.74 ,0.18 
1984,china,0.30 ,2.52 ,0.30 ,0.15 ,0.08 ,0.69 ,0.70 ,0.17 
1983,china,0.28 ,2.42 ,0.28 ,0.14 ,0.07 ,0.65 ,0.66 ,0.16 
1982,china,0.26 ,1.91 ,0.26 ,0.13 ,0.07 ,0.60 ,0.61 ,0.15 
1981,china,0.26 ,1.68 ,0.26 ,0.13 ,0.07 ,0.59 ,0.60 ,0.15 
1980,china,0.25 ,1.39 ,0.25 ,0.12 ,0.06 ,0.56 ,0.57 ,0.14 
