"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1990",514523.527335494,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1991",507675.980286004,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1992",522807.944881414,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1993",544209.72003555,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1994",569998.05910556,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1995",587555.520864786,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1996",611347.307212939,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1997",636796.3506068,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1998",668579.328329374,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","1999",696696.045066908,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2000",719751.964462384,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2001",739380.686248309,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2002",768514.044892545,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2003",790965.457679687,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2004",822366.805586701,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2005",847531.961222169,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2006",870897.293371858,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2007",909471.787665292,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2008",932617.97838745,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2009",950201.58770337,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2010",973462.952187157,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2011",1000063.11063643,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2012",1039364.75603031,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2013",1061186.75977417,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2014",1088236.40717424,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2015",1113216.66223023,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2016",1143607.59383928,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2017",1171521.97829287,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2018",1205264.77764575,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2019",1228699.21405242,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2020",1197917.93677558,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2021",1259414.4405574,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2022",1302655.0037414,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2023",1343408,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2024",1382308,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2025",1420290,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2026",1458150,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2027",1496279,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2028",1534820,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2029",1573857,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2030",1613475,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2031",1653734,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2032",1694653,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2033",1736199,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2034",1778305,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2035",1820914,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2036",1864007,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2037",1907572,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2038",1951647,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2039",1996285,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2040",2041542,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2041",2087444,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2042",2133960,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2043",2180996,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2044",2228435,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2045",2276186,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2046",2324232,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2047",2372592,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2048",2421374,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2049",2470749,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2050",2520930,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2051",2572145,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2052",2624589,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2053",2678432,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2054",2733837,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2055",2790961,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2056",2849944,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2057",2910808,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2058",2973533,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2059",3038041,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2060",3104236,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1990",270487.8790997,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1991",279797.064098619,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1992",285654.684833366,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1993",287159.540735487,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1994",294057.453953406,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1995",301902.8587888,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1996",308860.481631598,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1997",315697.611181986,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1998",326615.556128098,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","1999",337653.865553556,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2000",350080.022454102,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2001",354377.139895789,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2002",360509.714562407,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2003",364072.974338944,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2004",373123.741999574,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2005",382166.765854428,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2006",395801.429646975,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2007",410438.515702751,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2008",416574.930976566,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2009",400887.008223613,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2010",407799.842050487,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2011",420507.919298194,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2012",423628.263678536,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2013",423484.490022337,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2014",426925.190865676,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2015",430929.257960663,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2016",439484.800103536,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2017",450462.727622812,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2018",461800.297711889,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2019",468473.467885395,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2020",437084.320458993,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2021",452011.256509762,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2022",471168.042715934,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2023",480550.1,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2024",486799.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2025",491996.9,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2026",496936.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2027",501964.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2028",507157.2,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2029",512480.6,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2030",517924.7,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2031",523491.4,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2032",529171.3,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2033",534955.2,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2034",540829.7,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2035",546780.5,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2036",552796.1,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2037",558854.9,
"AUT","GDPLTFORECAST","TOT","MLN_USD","A","2038",564934.1,
