year,region,inputProduceFiberMT,inputProduceResinMT,inputImportResinMT,inputImportArticlesMT,inputImportGoodsMT,inputImportFiberMT,inputAdditivesMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransporationMT,consumptionTextitleMT,consumptionOtherMT,eolRecyclingPercent,eolIncinerationPercent,eolLandfillPercent,eolMismanagedPercent
2020,china,56.34,117.44,30.9,0,0,0,5.06,0.0,0.0,0,0,0,0,43.74,0,0.29999999999999993,0.31659999999999994,0.35209999999999997,0.031299999999999994
2020,eu30,2.8,55.05,2.3,2.41,2.8,5.1,6.37,0.0,0.0,0.672,0.4648,1.2964,0.364,7.9,0.0028,0.33503350335033505,0.4239423942394239,0.2057205720572057,0.0353035303530353
2020,nafta,2.98,69.73,0,8.42,7.8,6.5,6.07,0.0,0.0,1.872,1.2948,3.6114,1.014,9.48,0.0078,0.0843,0.1557,0.7331,0.0269
2020,row,13.87,124.78,0,9.47,0,1.0,13.02,0.0,0.0,0,0,0,0,14.87,0,0.1642,0.0724,0.324,0.4394
2019,china,54.33,114.08,26.6,0,0,0,5.07,0.0,0.0,0,0,0,0,34.23,0,0.26997300269973007,0.37476252374762525,0.3260673932606739,0.029197080291970802
2019,eu30,4.24,58.88,3.6,2.45,2.2,2.4,6.39,0.0,0.0,0.528,0.3652,1.0186,0.286,6.64,0.0022,0.32413241324132414,0.4276427642764276,0.2125212521252125,0.035703570357035704
2019,nafta,2.99,69.92,0,7.12,4.7,4.6,6.08,0.0,0.0,1.128,0.7802,2.1761,0.611,7.59,0.0047,0.0866,0.1575,0.7284,0.0275
2019,row,12.18,125.12,0,8.96,5.5,13.1,13.05,0.0,0.0,1.32,0.913,2.5465,0.715,25.28,0.0055,0.1608,0.0713,0.3191,0.4488
2018,china,45.63,107.7,24.5,0,0,0,4.95,0.0,0.0,0,0,0,0,31.63,0,0.2545,0.417,0.2932,0.0353
2018,eu30,4.04,61.03,4.2,1.47,1.4,4.8,6.23,0.0,0.0,0.336,0.2324,0.6482,0.182,8.84,0.0014,0.3173,0.4225,0.224,0.0362
2018,nafta,2.86,64.62,0,6.46,4.7,5.7,5.94,0.0,0.0,1.128,0.7802,2.1761,0.611,8.56,0.0047,0.0847,0.1579,0.7293,0.0281
2018,row,18.88,125.65,0,3.37,1.9,3.5,12.73,0.0,0.0,0.456,0.3154,0.8797,0.247,22.38,0.0019,0.1575,0.0702,0.3139,0.4584
2017,china,44.81,102.31,20.1,0,0,0,4.8,0.0,0.0,0,0,0,0,26.81,0,0.3037,0.4058,0.2523,0.0382
2017,eu30,4.09,64.38,2.1,1.23,1.5,1.0,6.04,0.0,0.0,0.36,0.249,0.6945,0.195,5.09,0.0015,0.30996900309969005,0.416958304169583,0.23637636236376364,0.036696330366963306
