year,region,inputProduceFiberMT,inputProduceResinMT,inputImportResinMT,inputImportArticlesMT,inputImportGoodsMT,inputImportFiberMT,inputAdditivesMT,consumptionAgriculturePercent,consumptionConstructionPercent,consumptionElectronicPercent,consumptionHouseholdLeisureSportsPercent,consumptionPackagingPercent,consumptionTransporationPercent,consumptionTextitlePercent,consumptionOtherPercent,eolRecyclingPercent,eolIncinerationPercent,eolLandfillPercent,eolMismanagedPercent
2020,china,56.34,117.44,30.9,-20.3,-9.8,-12.6,5.06,0.0,0.0,-0.0692987625220978,-0.0479316440777843,-0.13368886269888,-0.0375368296994697,1.28874484384207,-0.000288744843842074,0.3,0.3166,0.3521,0.0313
2020,eu30,2.8,55.05,2.3,2.41,2.8,5.1,6.37,0.0,0.0,0.062803738317757,0.0434392523364486,0.121158878504673,0.034018691588785,0.738317757009346,0.000261682242990654,0.335,0.4239,0.2057,0.0353
2020,nafta,2.98,69.73,-10.6,8.42,7.8,6.5,6.07,0.0,0.0,0.108333333333333,0.0749305555555555,0.208993055555556,0.0586805555555556,0.548611111111111,0.000451388888888889,0.0843,0.1557,0.7331,0.0269
2020,row,13.87,124.78,-22.6,9.47,-0.7,1.0,13.02,0.0,0.0,-0.0118560338743825,-0.00820042342978123,-0.0228722653493296,-0.00642201834862385,1.04940014114326,-4.94001411432604e-05,0.1642,0.0724,0.324,0.4394
2019,china,54.33,114.08,26.6,-18.53,-12.3,-20.1,5.07,0.0,0.0,-0.134610123119015,-0.0931053351573188,-0.2596853625171,-0.0729138166894665,1.5608755129959,-0.000560875512995896,0.27,0.3748,0.3261,0.0292
2019,eu30,4.24,58.88,3.6,2.45,2.2,2.4,6.39,0.0,0.0,0.0597285067873303,0.0413122171945701,0.115226244343891,0.0323529411764706,0.751131221719457,0.000248868778280543,0.3241,0.4276,0.2125,0.0357
2019,nafta,2.99,69.92,-9.3,7.12,4.7,4.6,6.08,0.0,0.0,0.0917819365337673,0.0634825061025224,0.177062652563059,0.0497152156224573,0.617575264442636,0.000382424735557364,0.0866,0.1575,0.7284,0.0275
2019,row,12.18,125.12,-21.0,8.96,5.5,13.1,13.05,0.0,0.0,0.0428849902534113,0.0296621182586095,0.082732293697206,0.0232293697205978,0.821312540610786,0.000178687459389214,0.1608,0.0713,0.3191,0.4488
2018,china,45.63,107.7,24.5,-11.29,-8.0,-14.0,4.95,0.0,0.0,-0.0812526449428692,-0.0561997460854846,-0.156749894202285,-0.0440118493440542,1.33855268726196,-0.000338552687261955,0.2545,0.417,0.2932,0.0353
2018,eu30,4.04,61.03,4.2,1.47,1.4,4.8,6.23,0.0,0.0,0.0328125,0.0226953125,0.06330078125,0.0177734375,0.86328125,0.00013671875,0.3173,0.4225,0.224,0.0362
